assetIssued,paymentDate,rate,relatedTo,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRVOTSCTF007,2022-11-16,0.77,Outubro/2022,2022-10-31,BRVOTSCTF007,RENDIMENTO,2022-10-31,,VOTS
BRVOTSCTF007,2022-10-17,0.77,Setembro/2022,2022-09-30,BRVOTSCTF007,RENDIMENTO,2022-09-30,,VOTS
BRVOTSCTF007,2022-09-15,1.01,Agosto/2022,2022-08-31,BRVOTSCTF007,RENDIMENTO,2022-08-31,,VOTS
BRVOTSCTF007,2022-08-12,1.15,Julho/2022,2022-07-29,BRVOTSCTF007,RENDIMENTO,2022-07-29,,VOTS
BRVOTSCTF007,2022-07-14,1.23,Junho/2022,2022-06-30,BRVOTSCTF007,RENDIMENTO,2022-06-30,,VOTS
BRVOTSCTF007,2022-06-14,1.4,Maio/2022,2022-05-31,BRVOTSCTF007,RENDIMENTO,2022-05-31,,VOTS
BRVOTSCTF007,2022-05-13,1.35,Abril/2022,2022-04-29,BRVOTSCTF007,RENDIMENTO,2022-04-29,,VOTS
BRVOTSCTF007,2022-04-14,1.15,Março/2022,2022-03-31,BRVOTSCTF007,RENDIMENTO,2022-03-31,,VOTS
BRVOTSCTF007,2022-03-15,1.08,Fevereiro/2022,2022-02-25,BRVOTSCTF007,RENDIMENTO,2022-02-25,,VOTS
BRVOTSCTF007,2022-02-14,0.88,janeiro/2022,2022-01-31,BRVOTSCTF007,RENDIMENTO,2022-01-31,,VOTS
BRRBRRCTF008,2023-01-17,0.90401616,Dezembro-2022/2023,2023-01-10,BRRBRRCTF008,RENDIMENTO,2023-01-10,,RBRR
BRRBRRCTF008,2022-12-16,0.7,Novembro-2022/2022,2022-12-09,BRRBRRCTF008,RENDIMENTO,2022-12-09,,RBRR
BRRBRRCTF008,2022-11-18,0.7,Outubro-2022/2022,2022-11-10,BRRBRRCTF008,RENDIMENTO,2022-11-10,,RBRR
BRRBRRCTF008,2022-10-19,0.7,Setembro-2022/2022,2022-10-11,BRRBRRCTF008,RENDIMENTO,2022-10-11,,RBRR
BRRBRRCTF008,2022-09-19,1.0,Agosto/2022,2022-09-12,BRRBRRCTF008,RENDIMENTO,2022-09-12,,RBRR
BRRBRRCTF008,2022-08-12,1.1,Julho/2022,2022-08-05,BRRBRRCTF008,RENDIMENTO,2022-08-05,,RBRR
BRRBRRCTF008,2022-07-18,1.266,Junho/2022,2022-07-11,BRRBRRCTF008,RENDIMENTO,2022-07-11,,RBRR
BRRBRRR15M14,2022-07-18,0.751566466,Junho/2022,2022-07-11,BRRBRRR15M14,RENDIMENTO,2022-07-11,,RBRR
BRRBRRR16M13,2022-07-18,0.368073782,Junho/2022,2022-07-11,BRRBRRR16M13,RENDIMENTO,2022-07-11,,RBRR
BRRBRRR17M12,2022-07-18,0.67830385,Junho/2022,2022-07-11,BRRBRRR17M12,RENDIMENTO,2022-07-11,,RBRR
BRRBRRCTF008,2022-06-17,1.2,Maio/2022,2022-06-09,BRRBRRCTF008,RENDIMENTO,2022-06-09,,RBRR
BRRBRRR15M14,2022-06-17,0.072117686,Maio/2022,2022-06-09,BRRBRRR15M14,RENDIMENTO,2022-06-09,,RBRR
BRRBRRCTF008,2022-05-17,1.2,Abril/2022,2022-05-10,BRRBRRCTF008,RENDIMENTO,2022-05-10,,RBRR
BRRBRRCTF008,2022-04-19,1.2,Março/2022,2022-04-11,BRRBRRCTF008,RENDIMENTO,2022-04-11,,RBRR
BRRBRRCTF008,2022-03-17,1.1,Fevereiro/2022,2022-03-10,BRRBRRCTF008,RENDIMENTO,2022-03-10,,RBRR
BRRBRRCTF008,2022-02-14,1.1,Janeiro/2022,2022-02-07,BRRBRRCTF008,RENDIMENTO,2022-02-07,,RBRR
BRLUGGCTF007,2023-01-13,0.52,Dezembro/2022,2022-12-29,BRLUGGCTF007,RENDIMENTO,2022-12-29,,LUGG
BRLUGGCTF007,2022-12-14,0.52,Novembro/2022,2022-11-30,BRLUGGCTF007,RENDIMENTO,2022-11-30,,LUGG
BRLUGGCTF007,2022-11-16,0.52,Outubro/2022,2022-10-31,BRLUGGCTF007,RENDIMENTO,2022-10-31,,LUGG
BRLUGGCTF007,2022-10-17,0.55,Setembro/2022,2022-09-30,BRLUGGCTF007,RENDIMENTO,2022-09-30,,LUGG
BRLUGGCTF007,2022-09-15,0.52,Agosto/2022,2022-08-31,BRLUGGCTF007,RENDIMENTO,2022-08-31,,LUGG
BRLUGGCTF007,2022-08-12,0.56,Julho/2022,2022-07-29,BRLUGGCTF007,RENDIMENTO,2022-07-29,,LUGG
BRLUGGCTF007,2022-07-14,0.53,Junho/2022,2022-06-30,BRLUGGCTF007,RENDIMENTO,2022-06-30,,LUGG
BRLUGGCTF007,2022-06-14,0.6,Maio/2022,2022-05-31,BRLUGGCTF007,RENDIMENTO,2022-05-31,,LUGG
BRLUGGCTF007,2022-05-13,0.58,Abril/2022,2022-04-29,BRLUGGCTF007,RENDIMENTO,2022-04-29,,LUGG
