assetIssued,percentage,priceUnit,tradingPeriod,subscriptionDate,approvedOn,isinCode,label,lastDatePrior,remarks,code
BRATSACTF000,,,31/12/9999 a 08/12/2020,2020-12-11,2020-11-23,BRATSACTF000,SUBSCRICAO,2020-11-26,,ATSA
BRXPLGCTF002,,,31/12/9999 a 21/12/2020,2020-12-28,2020-12-03,BRXPLGCTF002,SUBSCRICAO,2020-12-08,,XPLG
BRFAEDCTF003,,,05/05/2015 a 07/05/2015,2015-05-14,2015-04-01,BRFAEDCTF003,SUBSCRICAO,2015-05-04,,FAED
BRHBRHCTF000,,,31/12/9999 a 14/06/2021,2021-06-17,2021-05-25,BRHBRHCTF000,SUBSCRICAO,2021-06-01,,HBRH
BRCPTRCTF006,,,19/08/2022 a 29/08/2022,2022-09-01,2022-05-16,BRCPTRCTF006,SUBSCRICAO,2022-08-17,,CPTR
BRRECRCTF004,,,31/12/9999 a 26/04/2022,2022-04-29,2022-04-05,BRRECRCTF004,SUBSCRICAO,2022-04-08,,RECR
BRFTCECTF005,,,31/12/9999 a 02/09/2021,2021-09-08,2021-08-23,BRFTCECTF005,SUBSCRICAO,2021-08-24,,FTCE
BRFTCECTF005,,,31/12/9999 a 02/09/2021,2021-09-08,2021-08-23,BRFTCER04M13,SUBSCRICAO,2021-08-24,,FTCE
BRDCRACTF002,,,31/12/9999 a 12/09/2022,2022-09-15,2022-07-21,BRDCRACTF002,SUBSCRICAO,2022-08-30,,DCRA
BRPBLVCTF007,,,31/12/9999 a 26/07/2022,2022-07-29,2022-07-08,BRPBLVCTF007,SUBSCRICAO,2022-07-13,,PBLV
BRKISUCTF000,,,13/05/2021 a 21/05/2021,2021-05-26,2021-04-20,BRKISUCTF000,SUBSCRICAO,2021-05-11,,KISU
BRPVBICTF003,,,31/12/9999 a 21/11/2022,2022-11-24,2022-11-01,BRPVBICTF003,SUBSCRICAO,2022-11-07,,PVBI
BRCEOCCTF003,,,14/07/2015 a 16/07/2015,2015-07-23,2015-06-30,BRCEOCCTF003,SUBSCRICAO,2015-07-07,,CEOC
BRRECXCTF002,,,31/12/9999 a 24/09/2021,2021-09-29,2021-09-08,BRRECXCTF002,SUBSCRICAO,2021-09-13,,RECX
BRLKDVCTF004,,,31/12/9999 a 18/02/2022,2022-02-23,2022-02-07,BRLKDVCTF004,SUBSCRICAO,2022-02-08,,LKDV
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGCTF005,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR01M10,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR02M19,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR03M18,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR07M14,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR08M13,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR09M12,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR10M19,SUBSCRICAO,2021-06-25,,BTSG
BRBTSGCTF005,,,31/12/9999 a 25/06/2021,2021-06-30,2021-06-25,BRBTSGR11M18,SUBSCRICAO,2021-06-25,,BTSG
BRMORECTF000,,,16/12/2020 a 28/12/2020,2020-12-31,2020-09-22,BRMORECTF000,SUBSCRICAO,2020-12-11,,MORE
BRLATRCTF009,,,31/12/9999 a 31/12/9999,,2014-10-08,BRLATRCTF009,SUBSCRICAO,2014-10-08,,LATR
BROUFFCTF005,,,01/07/2020 a 10/07/2020,2020-07-15,2020-05-29,BROUFFCTF005,SUBSCRICAO,2020-06-24,,OUFF
BRXPCICTF007,,,31/12/9999 a 07/04/2022,2022-04-12,2022-03-23,BRXPCICTF007,SUBSCRICAO,2022-03-28,,XPCI
BRMINTCTF009,,,31/12/9999 a 30/06/2021,2021-07-05,2021-06-15,BRMINTCTF009,SUBSCRICAO,2021-06-18,,MINT
BRMFIICTF008,,,31/12/9999 a 16/03/2021,2021-03-19,2021-02-25,BRMFIICTF008,SUBSCRICAO,2021-03-01,,MFII
BRLGCPCTF006,,,07/10/2020 a 16/10/2020,2020-10-21,2020-09-15,BRLGCPCTF006,SUBSCRICAO,2020-09-18,,LGCP
BRRECTCTF000,,,31/12/9999 a 03/06/2022,2022-06-08,2022-05-19,BRRECTCTF000,SUBSCRICAO,2022-05-24,,RECT
BRRBRSCTF006,,,31/12/9999 a 04/03/2022,2022-03-09,2022-02-10,BRRBRSCTF006,SUBSCRICAO,2022-02-11,,RBRS
BRVERECTF002,,,31/12/9999 a 16/02/2018,2018-02-23,2018-01-23,BRVERECTF002,SUBSCRICAO,2018-01-23,,VERE
BRJGPXCTF006,,,31/12/9999 a 22/04/2022,2022-04-27,2022-04-04,BRJGPXCTF006,SUBSCRICAO,2022-04-07,,JGPX
BRVISCCTF005,,,31/12/9999 a 17/10/2022,2022-10-20,2022-09-29,BRVISCCTF005,SUBSCRICAO,2022-10-04,,VISC
BRPRTSCTF002,,,31/12/9999 a 31/01/2018,2018-02-07,2018-01-12,BRPRTSCTF002,SUBSCRICAO,2018-01-12,,PRTS
BRCPTICTF005,,,31/12/9999 a 21/11/2022,2022-11-24,2022-11-01,BRCPTICTF005,SUBSCRICAO,2022-11-07,,CPTI
BRCPTICTF005,,,08/06/2022 a 17/06/2022,2022-06-22,2021-08-20,BRCPTICTF005,SUBSCRICAO,2022-06-06,,CPTI
BRBTLGCTF000,,,31/12/9999 a 18/03/2022,2022-03-23,2022-03-03,BRBTLGCTF000,SUBSCRICAO,2022-03-08,,BTLG
BRMGHTCTF005,,,31/12/9999 a 26/05/2022,2022-05-31,2022-05-09,BRMGHTCTF005,SUBSCRICAO,2022-05-12,,MGHT
BRTGARCTF009,,,31/12/9999 a 17/10/2022,2022-10-20,2022-09-29,BRTGARCTF009,SUBSCRICAO,2022-10-04,,TGAR
BRAFHICTF005,,,31/12/9999 a 14/07/2022,2022-07-19,2022-06-29,BRAFHICTF005,SUBSCRICAO,2022-07-04,,AFHI
BRAFHICTF005,,,31/12/9999 a 29/04/2022,2022-05-04,2022-04-12,BRAFHICTF005,SUBSCRICAO,2022-04-14,,AFHI
BRRBFFCTF008,,,16/12/2020 a 06/01/2021,2021-01-11,2020-10-13,BRRBFFCTF008,SUBSCRICAO,2020-10-13,,RBFF
BRHGBSCTF000,,,31/12/9999 a 08/08/2019,2019-08-15,2019-07-29,BRHGBSCTF000,SUBSCRICAO,2019-07-29,,HGBS
BRBPFFCTF002,,,02/09/2020 a 24/09/2020,2020-09-29,2020-01-29,BRBPFFCTF002,SUBSCRICAO,2020-01-29,,BPFF
BROURECTF003,,,30/07/2021 a 09/08/2021,2021-08-12,2021-05-21,BROURECTF003,SUBSCRICAO,2021-07-22,,OURE
BRHGLGCTF004,,,31/12/9999 a 27/04/2022,2022-05-02,2022-02-21,BRHGLGCTF004,SUBSCRICAO,2022-04-12,,HGLG
BRBMIICTF007,,,31/12/9999 a 12/04/2022,2022-04-18,2022-04-01,BRBMIICTF007,SUBSCRICAO,2022-04-06,,BMII
BRRZTRCTF003,,,31/12/9999 a 09/12/2022,2022-12-14,2022-11-24,BRRZTRCTF003,SUBSCRICAO,2022-11-29,,RZTR
